symbol,score,atr_pct_med,hl_pct_med,rv_ann,qv_24h,days
HBARUSDT,0.0550149256173296,5.2685316221752645,4.622889193022834,67.39447371125429,38503574.04105,400
ETCUSDT,0.059613271844089,5.2256341789052065,4.642861757413285,72.22729077041116,30087713.495,400
CAKEUSDT,0.0942598687201732,4.976251623714663,4.735317480924381,82.64741197020477,26252066.8737,400
DOGEUSDT,0.1808573689897599,5.6947276434605305,4.992880397924781,73.06714735531948,424315450.2041,400
XMRUSDT,0.1888811735902854,5.358427330429763,5.281182348295047,82.09663325715741,52819090.39,400
POLUSDT,0.2232717785819732,5.7055461593114005,5.11114411630156,75.38740194986097,30775072.9359,400
SEIUSDT,0.5142762028972341,6.204519341248565,5.588711915969929,80.71511728271308,17290551.34468,400
AAVEUSDT,0.6614576903451788,6.367424519336208,5.900564840325773,86.7752313168506,136686882.814,400
ICPUSDT,0.7848541387226635,6.9292732043693155,5.827773753225877,105.01005132586016,22665653.925,400
SUSHIUSDT,0.8649158123024883,6.945559122525415,6.054259106109091,96.43047568225133,14344042.3614,400
FILUSDT,0.9272467081803848,7.162267080745342,6.070226377970771,109.7474923193096,103065335.51155,400
ONDOUSDT,0.9378887958358916,6.866767436838693,6.334285813919612,89.0343797070167,191724886.87519,400
GALAUSDT,0.9762609653602872,7.131185807656396,6.241147308781874,97.49126478458211,31481859.247598,400
RENDERUSDT,1.0542769445707272,7.230068918573981,6.396599958992895,94.4357617437576,21519627.3723,400
CRVUSDT,1.1533266749548492,7.400000000000004,6.559076245926468,93.19275522492912,36783476.46773,400
HYPEUSDT,1.16935022797432,7.178729844516714,6.780877747750557,94.31208452788896,954208864.0063,400
